drug_id	drug_label	y_true	prediction	iteration
3385203	GTP-14564	0	0.004690746	0
54659352	SA-1455884	0	0.010427801	0
9903757	BAY-36-7620	0	0.19101281	0
6857791	sappanone-a	0	0.13396235	0
60726	bromfenac	0	0.1676384	0
82755	hydroxytyrosol	0	0.12748171	0
10474339	BMS-191011	0	0.04816161	0
637858	piperlongumine	0	0.06290021	0
2551	carbachol	0	0.33024475	0
5329099	orantinib	0	0.030240335	0
5496659	otamixaban	0	0.01515051	0
44251479	VU-0405166-2	0	0.015038766	0
5281426	umbelliferone	0	0.021853292	0
2145	aminoglutethimide	0	0.18850608	0
494471	methyllycaconitine	0	0.013925886	0
441290	rocuronium	0	0.14594756	0
1043	ergotamine	1	0.44682997	0
5037	ramifenazone	0	0.18853216	0
44828476	KU-C104545N	0	0.025303276	0
9836739	PNU-74654	0	0.017084206	0
73707600	APEC	0	0.20647052	0
5083	bisindolylmaleimide-ix	0	0.003650327	0
46224516	UNC-0638	0	0.020067455	0
3272524	NBQX	0	0.0023819131	0
125519	aminogenistein	0	0.01772928	0
656665	tropisetron	0	0.004851265	0
3579902	KU-C103874	0	0.013056584	0
3784	isradipine	0	0.0040130233	0
73707346	pyrvinium	0	0.030805945	0
3034010	orlistat	0	0.9366165	0
73707436	YL-52	0	0.029305516	0
11485656	linifanib	0	0.041517124	0
16760391	VAMA-37	0	0.052473255	0
5481173	ceftazidime	0	0.032422904	0
5906	metaraminol	0	0.1910167	0
41684	nitazoxanide	0	0.0050894762	0
2733529	baccatin-III	0	0.43701643	0
5920	liothyronine	0	0.08206599	0
216284	zeranol	0	0.01685324	0
441853	cymarin	0	0.1300739	0
4708	PD-168393	0	0.013885444	0
60651	marbofloxacin	0	0.0065773847	0
1189	fludarabine phosphate	1	0.09640541	0
441401	linezolid	0	0.014175844	0
442009	carnosol	0	0.11162566	0
214347	dapivirine	0	0.016455915	0
54654640	SA-1472514	0	0.004597441	0
44483335	GW-311616	0	0.1434655	0
11691726	balapiravir	0	0.24810697	0
446313	SR-12813	0	0.16430858	0
4369524	tanaproget	0	0.019316485	0
3845	kynurenic-acid	0	0.00998406	0
9651	galantamine	0	0.061609734	0
122327	CI-976	0	0.15949933	0
3440	furosemide	0	0.00253901	0
392622	ritonavir	0	0.012301911	0
9826308	GW-843682X	0	0.0063737486	0
2706	topiramate	1	0.0037393442	0
4578	O6-benzylguanine	0	0.071840025	0
73707446	tigecycline	0	0.19870566	0
6918097	dexniguldipine	0	0.013816931	0
23919667	DY-44	0	0.049121756	0
16760692	U-0124	0	0.081212066	0
129010088	bilobalide	0	0.22996756	0
2482	butamben	0	0.060168557	0
153994	cleviprex	0	0.010491303	0
13342	vinblastine	0	0.04351729	0
17753743	oprozomib	0	0.024029732	0
440936	arbutin	0	0.07449227	0
44251605	LY-2811376	0	0.051966984	0
5219	linsidomine	0	0.087046534	0
4919	procyclidine	0	0.089679606	0
5291	imatinib	0	0.007925537	0
3090	dimetridazole	0	0.20049094	0
54657694	SA-1460192	0	0.005931713	0
6435415	cilastatin	0	0.0933471	0
54658692	SA-1458163	0	0.005294336	0
5282459	cinepazide	0	0.10522677	0
11282283	amuvatinib	0	0.004300458	0
12555	benzydamine	0	0.008663548	0
2730	chlorpyrifos	0	0.09686911	0
1547484	cinnarizine	0	0.15481454	0
123686	ICI-89406	0	0.013752018	0
118984375	insulin human	0	0.04601056	0
4539	norfloxacin	0	0.00882397	0
2293	BAPTA-AM	0	0.14089653	0
44493394	SA-90377	0	0.008634426	0
44623834	KU-C104219	0	0.05400783	0
173614	GR-144053	0	0.02375329	0
44489854	SA-423131	0	0.0037162479	0
2378095	decafluorobutane	0	0.24682598	0
155815	varespladib	0	0.004968097	0
71384	razoxane	0	0.8155758	0
4497	nimodipine	0	0.011971387	0
6708573	oleanolic-acid	0	0.65996724	0
54477	remoxipride	0	0.0059193824	0
13013971	depomedrol	0	0.03619386	0
3906894	WAY-161503	0	0.019904643	0
3539719	3-methyl-GABA	0	0.5718667	0
3156173	ST-014366	0	0.005629085	0
73265347	CHEMBL3348877	0	0.81088495	0
11382492	CMPD-1	0	0.052296434	0
24753719	PCI-34051	0	0.0072730887	0
892	inositol	0	0.19982135	0
5788723	GBR-12783	0	0.09914174	0
2777391	T-0070907	0	0.0057975906	0
21138	Dexpropranolol	0	0.2580533	0
3559	haloperidol	0	0.021525048	0
4011	maprotiline	0	0.1236864	0
771910	ITSA-1	0	0.1185193	0
46209426	thiazovivin	0	0.0058178985	0
4760	phenindione	0	0.012197269	0
52914932	SAR-245408	0	0.014946434	0
1204	epibatidine	0	0.020741157	0
16132438	insulin lispro	0	0.04601056	0
43008	alizapride	0	0.0043638526	0
11214940	erastin	0	0.061023198	0
9705	AY-9944	0	0.13827996	0
11438771	basimglurant	0	0.040414866	0
2929	indibulin	0	0.0058121984	0
44601473	KU-C103898N	0	0.02524777	0
9850876	SR-33805	0	0.035942506	0
2356	ramipril	1	0.98181033	0
54657712	SA-1457945	0	0.005974499	0
46897843	VU-0420364-1	0	0.022039905	0
6215	fluocinolone	0	0.1722076	0
15443	azaperone	0	0.0072101397	0
2753	cilostamide	0	0.03038961	0
6610268	berbamine	0	0.011427698	0
9957280	NNC-55-0396	0	0.037639093	0
786	daunorubicin	1	0.91281754	0
4991	mestinon	0	0.04501747	0
24880028	ALW-II-38-3	0	0.020799134	0
4519822	MRS-1334	0	0.05008629	0
3744	VP-20629	0	0.011131866	0
10052040	CP-945598	0	0.008851563	0
3341	fenoldopam	0	0.024354793	0
5353685	I-OMe-AG-538	0	0.080776885	0
62389	6-benzylaminopurine	0	0.019619752	0
24856237	FU-JMBII105B	0	0.032138847	0
25044703	TMI-15	0	0.010232716	0
8569	dioxybenzone	0	0.06847901	0
24965990	suvorexant	0	0.06474845	0
73707473	ribostamycin	0	0.59351647	0
57267	eticlopride	0	0.0020850364	0
3964	loxapine	0	0.008272251	0
4306	W-9	0	0.0010782419	0
1859	mycophenolate mofetil	1	0.01435705	0
15723	azacyclonol	0	0.10294936	0
44246708	minocycline	0	0.12895253	0
176157	NBI-27914	0	0.003971749	0
3009355	vicriviroc	0	0.025657978	0
27873	erythrosine	0	0.21281281	0
24747188	JAS07-002	0	0.017524123	0
18721	apigenin	0	0.020857297	0
4630	oxotremorine-sesquifumarate	0	0.11128847	0
54653980	SA-1472321	0	0.003593256	0
121396	carglumic-acid	0	0.20442884	0
639665	xanthohumol	0	0.00602196	0
44607977	KU-C104145	0	0.0012585267	0
5330790	JNJ-7706621	0	0.09397638	0
44589607	7b-cis	0	0.041057188	0
5312557	docosatrienoic-acid	0	0.31895038	0
26	fluorouracil	1	0.9039323	0
3803	JLK-6	0	0.016303036	0
11560787	E-2012	0	0.3146126	0
119034	asiatic-acid	0	0.20478456	0
59174488	AVL-292	0	0.015516782	0
2815801	HTS-11203SC	0	0.046533234	0
6713958	vitexin	0	0.0680967	0
785	dasatinib	1	0.018579654	0
4849	piretanide	0	0.01784583	0
3473417	VU-0447126-2	0	0.3776287	0
1894361	AMN-082	0	0.24484749	0
9823820	lenvatinib	0	0.009950967	0
60187611	SA-1939838	0	0.01414206	0
637213	rhapontin	0	0.03660345	0
135565181	IOWH-032	0	0.030023111	0
81423	aminoindazole	0	0.07064138	0
92409	SKF-89976A	0	0.12261772	0
91469	equol	0	0.06650046	0
135413511	tirapazamine	0	0.042431787	0
23725	psoromic-acid	0	0.005010781	0
88129	valproxam	0	0.78372055	0
10668061	SCH-442416	0	0.036476955	0
6399253	cefdinir	0	0.019385898	0
800654	ARG-A1-22	0	0.0060091075	0
6918155	ciclesonide	0	0.045847654	0
4353886	FR-139317	0	0.049377013	0
123831	asymmetrical-dimethylarginine	0	0.19657587	0
49766549	TL-HRAS-27	0	0.026548449	0
5702076	isoxsuprine	0	0.6565245	0
108137	SCH-28080	0	0.08359406	0
44507291	SA-247615	0	0.001465484	0
72947407	MD-049	0	0.088476814	0
11224409	radezolid	0	0.008133433	0
3342390	K-788-2192	0	0.008929115	0
460612	melphalan	0	0.2905081	0
25033539	PF-04691502	0	0.017840382	0
5311346	PD-128907	0	0.06160793	0
609483	ARC-239	0	0.0013056241	0
44505045	SA-419050	0	0.002710121	0
50515	amonafide	0	0.0066093192	0
772	heparin	0	0.05160188	0
22049997	PH-797804	0	0.040727526	0
78441492	LSM-5108	0	0.08090878	0
44483885	SA-244237	0	0.007852853	0
6009	amidopyrine	0	0.16414712	0
4284525	GR-135531	0	0.04741017	0
44488751	SA-422830	0	0.002074459	0
3036864	SCH-23390	0	0.013324515	0
107905	epicatechin	0	0.004114452	0
65999	telmisartan	0	0.9613415	0
54676535	scandenin	0	0.015964905	0
208908	lapatinib	0	0.008154058	0
54669029	SA-1921574	0	0.0050300863	0
5280804	isoquercetin	0	0.013639356	0
13019152	isosorbide	0	0.18960871	0
56052	ractopamine	0	0.11084657	0
2949965	importazole	0	0.0016514441	0
3292	ethotoin	0	0.59322196	0
6605258	CGK-733	0	0.13312274	0
6603827	N20C	0	0.22616944	0
5329006	ZM-306416	0	0.0066846865	0
6610281	lithium-chloride	0	0.41309097	0
73707385	TL-AA09	0	0.25873467	0
6602442	hydrocortisone-phosphate	0	0.04962997	0
130325	SA-792709	0	0.035524543	0
51348735	hyperforin	0	0.20582499	0
9821849	abiraterone acetate	0	0.30661118	0
121930	LY-165163	0	0.019952048	0
44492524	SA-242939	0	0.0035946257	0
213023	dabigatran-etexilate	0	0.082311556	0
34312	oxcarbazepine	0	0.121125594	0
10748	herniarin	0	0.02388564	0
2834356	ST-003833	0	0.41540492	0
60750	gemcitabine	0	0.9504859	0
941361	flunarizine	0	0.17686872	0
9927768	tenoxicam	0	0.007968106	0
24996872	GSK-1292263	0	0.025597313	0
44496365	SA-243929	0	0.0030323782	0
135565635	PP-242	0	0.010167369	0
6610344	forskolin	0	0.056344125	0
5382	TCPOBOP	0	0.10027043	0
72124	siguazodan	0	0.060526732	0
129211	tamsulosin	0	0.107840836	0
4521392	SB-431542	0	0.0014688169	0
6035	broxuridine	0	0.258238	0
4114	methoxsalen	0	0.005461836	0
54385	levocabastine	0	0.123442106	0
9846332	halometasone	0	0.14448155	0
73602827	THZ-1	0	0.014932721	0
6010	testosterone	0	0.89038736	0
667477	doxepin	0	0.03799258	0
123924	SNC-80	0	0.028600633	0
56973724	AZ-3146	0	0.0027578294	0
4688	pargyline	0	0.12742358	0
3033818	dolasetron	0	0.0034815525	0
2068	paroxetine	1	0.89030945	0
91668	nomegestrol-acetate	0	0.9360733	0
13121776	nafcilline	0	0.009459423	0
5280863	kaempferol	0	0.02864833	0
689043	caffeic-acid	0	0.124679804	0
6913176	NXY-059	0	0.014367426	0
45489449	VU-0415556-1	0	0.009675529	0
25227462	PF-03758309	0	0.20046525	0
3166	drofenine	0	0.16264564	0
1048845	TCS-359	0	0.0015700221	0
44907115	VU-0413238-1	0	0.019485826	0
3064778	hydroxyfasudil	0	0.0029740157	0
3896	lavendustin-c	0	0.031086523	0
9801	prenylamine	0	0.17013282	0
11228183	ABT-737	0	0.0077084717	0
2893	cyclandelate	0	0.25734675	0
755405	ST-056792	0	0.010219052	0
22094941	norcitalopram	0	0.09217773	0
5614	tyrphostin-A9	0	0.099045575	0
73707549	BG-1010	0	0.014923577	0
693139	CAY-10577	0	0.0032895068	0
44483336	fluticasone	0	0.054217115	0
25171648	EMD-1214063	0	0.0931659	0
156314	dipropyl-5ct	0	0.009615081	0
45489398	VU-0415533-1	0	0.056675628	0
9924495	perampanel	0	0.013870983	0
73707458	BRD-K55113501-001-01-2	0	0.24344966	0
25199517	WAY-262611	0	0.005603581	0
3682	ICI-118551	0	0.054810982	0
269	azathioprine	1	0.026931427	0
34772	BE-2254	0	0.023894835	0
108001	dihydroxyphenylglycine	0	0.040574323	0
129010004	tebipenem	0	0.022955442	0
44504533	SA-103150	0	0.008155963	0
67946	fluoropyruvate	0	0.25647357	0
54682876	tasquinimod	0	0.03954443	0
5330	sulfamethoxypyridazine	0	0.015165378	0
4018928	sulpiride	0	0.0030911465	0
2391	bisacodyl	0	0.06941012	0
25195294	LDN-193189	0	0.0014664234	0
443879	tolterodine	0	0.021689232	0
53389	rimcazole	0	0.021115324	0
1720	CS-1657	0	0.022131748	0
4938	propentofylline	0	0.003503072	0
134044	labetalol	0	0.009746058	0
44484798	SA-89735	0	0.0068252794	0
4139	methylene-blue	0	0.086068325	0
44386188	3-deazaadenosine	0	0.050405987	0
44143700	KUC103424N	0	0.009629368	0
4910	proadifen	0	0.052128777	0
77991	rivastigmine	0	0.023387766	0
2406	rosuvastatin	1	0.02979638	0
831629	alda-1	0	0.018799637	0
16007391	barasertib-HQPA	0	0.009035394	0
25099184	AZ-960	0	0.0048864908	0
73010930	GSK-2801	0	0.0027145413	0
7048568	AC1OFCDP	0	0.92304075	0
5329	sulfamethoxazole	0	0.05078239	0
5440	thiethylperazine	0	0.0038229346	0
60190124	SA-1939007	0	0.021433426	0
8400	benzoin	0	0.05631471	0
44507299	SA-247636	0	0.002080154	0
5268	spiroxatrine	0	0.026100636	0
1184	floxuridine	1	0.20843719	0
9886498	HU-211	0	0.2272103	0
2351	bepridil	0	0.02666084	0
1678	melphalan	1	0.2905081	0
54660070	SA-1456734	0	0.003312155	0
9915743	neratinib	0	0.016051514	0
6918638	belinostat	0	0.075454004	0
178024	ibutamoren	0	0.03410022	0
56928031	KUC111109N	0	0.018259417	0
133076	RS-67506	0	0.017121222	0
14182642	propanoic-acid	0	0.011455532	0
24747213	PSH-008	0	0.013547473	0
27400	pizotifen	0	0.12193622	0
44489864	SA-424589	0	0.0037162479	0
3157	doxazosin	0	0.0010697065	0
119376	GR-113808	0	0.008561382	0
135398658	folic acid	0	0.19759195	0
253078	GANT-58	0	0.028058536	0
23606608	EMF-sumo1-10	0	0.025554681	0
46220502	LY-2835219	0	0.006311876	0
204	allantoin	0	0.3409374	0
5656	venlafaxine	0	0.07158767	0
49842983	SD-6-035-A2	0	0.0024067413	0
3442	fusaric-acid	0	0.21734396	0
2972	deferiprone	0	0.15885471	0
44601470	KUC103893N	0	0.08200854	0
4506	nitrazepam	0	0.8533475	0
54658765	SA-1459849	0	0.0055520018	0
2300880	ST-013960	0	0.07001438	0
5074	ritanserin	0	0.03732222	0
4928	prometon	0	0.14460081	0
24747189	JAS07-004	0	0.013547473	0
17756791	Ro-08-2750	0	0.018364312	0
9926791	tofacitinib	0	0.005897162	0
154257	bazedoxifene	0	0.024367062	0
5312137	SU-6656	0	0.011129583	0
20345	kinetin-riboside	0	0.11660774	0
54660187	SA-1455822	0	0.0052746222	0
5029	rabeprazole	0	0.012028594	0
114811	florfenicol	0	0.040401645	0
10398360	3-matida	0	0.010166111	0
3330	FCCP	0	0.095139325	0
11771279	MRS-3777	0	0.00464412	0
1229	fluvastatin	1	0.008199803	0
44497655	SA-102676	0	0.0020845414	0
237	mepacrine	0	0.0043399706	0
3938007	ZD-7288	0	0.024428783	0
65492	iopamidol	0	0.011518362	0
2973	deferoxamine-mesylate	0	0.26745588	0
3645619	PD-168077	0	0.010671075	0
128563	salvinorin-a	0	0.00849601	0
9966051	vortioxetine	0	0.013984552	0
54671008	raltegravir	0	0.0041555297	0
59472121	VE-822	0	0.008902384	0
3828	khellin	0	0.025007905	0
40469854	flumethasone	0	0.21306747	0
73707380	fumonisin-b1	0	0.2284246	0
3970	LY-278584	0	0.006671525	0
5429	theobromine	0	0.01895147	0
44602378	KU-C104129	0	0.030211812	0
989	efavirenz	1	0.015127227	0
5270	SQ-22536	0	0.17866999	0
3290	profenamine	0	0.009386665	0
310557	EXO-1	0	0.012122573	0
11977753	NVP-BEZ235	0	0.04858178	0
1456	ODQ	0	0.19679527	0
9863672	ripasudil	0	0.0018030566	0
658169	ST-4028268	0	0.24053922	0
44498994	SA-96835	0	0.002701771	0
5353593	DMBI	0	0.062294565	0
73438900	JS-K	0	0.025158368	0
19103	NSC-3852	0	0.07495285	0
127382	Ro-19-4605	0	0.023691235	0
4934	propantheline	0	0.049895905	0
68508601	PT-630	0	0.2202375	0
3357	fleroxacin	0	0.008045215	0
6708532	methyl-angolensate	0	0.023955088	0
3765	isoguvacine	0	0.40374485	0
442428	naringin	0	0.03238859	0
6185	strophanthidin	0	0.24173646	0
73707561	desmethyl-DASB	0	0.01258483	0
4296446	VU-0447127-2	0	0.23313792	0
3463	gemfibrozil	0	0.16178936	0
11326715	ostarine	0	0.04099031	0
192197	hexestrol	0	0.2304746	0
1042895	felamidin	0	0.007813142	0
3033	diclofenac	0	0.05502987	0
34521	toloxatone	0	0.013143228	0
9799509	ER-27319	0	0.027291022	0
107970	fingolimod	0	0.15948655	0
1716436	JMW-MITF1	0	0.011623015	0
12799467	piperacillin	0	0.019959858	0
4884	pralidoxime	0	0.14395753	0
451668	decitabine	0	0.58958465	0
10125107	lawsone	0	0.010068824	0
2134	phenobarbital	1	0.15940703	0
54654429	SA-1472655	0	0.0107488185	0
444795	tretinoin	0	0.81470907	0
2966	debrisoquin	0	0.08576557	0
6855	benzoxiquine	0	0.016316868	0
441243	saquinavir	0	0.025268191	0
148184	ampalex	0	0.024932282	0
17277	methyl-dopate	0	0.17486542	0
56962336	EPZ-004777	0	0.05543212	0
9849616	SR-147778	0	0.0057645547	0
24856041	AMG-900	0	0.0066822995	0
399698	n-bromoacetyltryptamine	0	0.073700465	0
412	nornicotine	0	0.75235003	0
3105	dipivefrine	0	0.023909241	0
3272300	SB-203186	0	0.0080825025	0
135398510	dovitinib	0	0.0075965067	0
4830	pipamperone	0	0.02821379	0
54670067	ascorbic acid	0	0.091708615	0
47510	lidamidine	0	0.073710136	0
70680399	MW-SHH-54	0	0.29868454	0
46239015	SCH-900776	0	0.082154594	0
2809486	S-206352	0	0.0020717138	0
2678	cetirizine	0	0.055844348	0
54117	DSSTOX_CID_2640	0	0.04138905	0
86101	epidepride	0	0.0030431456	0
11892032	Epiisopicropodophyllin	0	0.08515874	0
15224271	anidulafungin	0	0.01593775	0
676352	DBeQ	0	0.003225405	0
2512	NCGC00167821-01	0	0.04686435	0
5702003	mitomycin-c	0	0.11576155	0
6279	Medroxyprogesterone Acetate	0	0.9401635	0
443375	devazepide	0	0.26793876	0
46944259	LY-2874455	0	0.05489356	0
3476986	blebbistatin	0	0.032833815	0
44623838	KU-C104224	0	0.020654084	0
2871	coumophos	0	0.02950596	0
476	mevalonic-acid	0	0.15369147	0
60838	irinotecan	0	0.6098897	0
5210	sibutramine	0	0.039643794	0
10302451	saracatinib	0	0.0112462845	0
7108	phenothiazine	0	0.098194815	0
151932	picolinic-acid	0	0.09281925	0
54669344	SA-1919667	0	0.004033177	0
71271629	PFI-1	0	0.008084635	0
3478	glipizide	0	0.0045192796	0
14900	1-monopalmitin	0	0.423238	0
2351	raloxifene	1	0.01565799	0
6560164	azlocillin	0	0.016271506	0
16960	dexbrompheniramine	0	0.045845546	0
25154868	PF-750	0	0.045929972	0
133633	L-741626	0	0.018126749	0
5329098	semaxanib	0	0.11802148	0
45281798	VU-0365118-1	0	0.014490826	0
159269	telbivudine	0	0.18616563	0
54667764	SA-1920756	0	0.0036235342	0
10429242	CAY-10415	0	0.020155543	0
5281613	diosmin	0	0.008948825	0
6160690	GR-46611	0	0.09860426	0
54658632	SA-1456977	0	0.0052746222	0
439654	scoulerine	0	0.015219393	0
39912	Dexibuprofen	0	0.23338605	0
3779	Levisoprenaline	0	0.045778804	0
9813758	BMS-345541	0	0.020381974	0
4552	NS-1619	0	0.0083286315	0
44473132	KU-C103676	0	0.012788461	0
172813	Gly-Gly-PALO	0	0.47081938	0
71226662	acalabrutinib	0	0.011971031	0
15984937	camicinal	0	0.054739498	0
2081	alaproclate	0	0.05944753	0
60795	aripiprazole	0	0.0053065214	0
5202074	MRS-1845	0	0.021082332	0
24737642	LCL-161	0	0.10721401	0
9884817	GR-79236	0	0.0068699205	0
56965963	KIN001-242	0	0.054910053	0
802	demeclocycline	1	0.9600821	0
7456	methylparaben	0	0.040620893	0
1054	pyridoxine	0	0.08097283	0
40632	pirfenidone	0	0.029968973	0
3324	famciclovir	0	0.10250207	0
2950007	ML-141	0	0.0038178784	0
13505	diphenoxylate	0	0.028790673	0
46869952	VU-0404997-2	0	0.0013333077	0
1400	PP-1	0	0.013494442	0
10322450	KO-143	0	0.08154097	0
4396344	5'-guanidinonaltrindole	0	0.044122115	0
45259137	VU-0415011	0	0.011524933	0
45376076	RN-1	0	0.040045608	0
2823	vinblastine	1	0.04351729	0
5353633	farnesylthiotriazole	0	0.2241767	0
25124816	GSK-1904529A	0	0.012108409	0
415541	U-18666A	0	0.38741326	0
421610	GANT-61	0	0.122895375	0
1983	paracetamol	0	0.16390148	0
6077	acepromazine	0	0.013872993	0
3489614	CGP-54626	0	0.10387217	0
2662	celecoxib	0	0.013494486	0
2802	clonazepam	0	0.9600787	0
441289	pancuronium	0	0.117559396	0
11467730	BMS-509744	0	0.010480024	0
54666566	SA-1922257	0	0.0033561047	0
10341154	VX-702	0	0.0059761875	0
122070	L-655240	0	0.0075675477	0
6604933	WAY-629	0	0.007843085	0
2236	aristolochic-acid	0	0.013755665	0
44593869	KU-C103884	0	0.024214545	0
447912	T-0901317	0	0.0049516098	0
53245456	TUL_XIX003	0	0.0018497893	0
5403	terbutaline	0	0.04179933	0
44640176	KU-C104493	0	0.0012859238	0
4549	NPPB	0	0.119336985	0
2717	chlormezanone	0	0.014689686	0
2743956	SPB02137	0	0.008066459	0
107992	MK-212	0	0.07468881	0
5377914	methylnorlichexanthone	0	0.015414498	0
73707463	lymecycline	0	0.14916916	0
50878566	S-ruxolitinib	0	0.0025104568	0
11052	orthothymotinic-acid	0	0.023029646	0
6610267	EI-231	0	0.07885662	0
54659817	SA-1460032	0	0.019828442	0
5280881	prostaglandin-b2	0	0.1293267	0
6443013	HO-013	0	0.2527505	0
833	L-citrulline	0	0.35310853	0
361510	emodic-acid	0	0.07750632	0
44500663	SA-89763	0	0.0034706707	0
108094	RX-821002	0	0.13182451	0
135886613	BG-1031	0	0.09181529	0
9819467	N-Methylparoxetine	0	0.6133496	0
19009	palmatine-chloride	0	0.01661791	0
4369491	PD-407824	0	0.011104662	0
56971	ipsapirone	0	0.011151473	0
44483234	terreic-acid	0	0.09451224	0
11646777	LY-2334737	0	0.4990675	0
3906779	Ro-106-9920	0	0.1269804	0
40486	A-23187	0	0.29041946	0
3081027	OCO-1112	0	0.06617329	0
2736301	TBEP	0	0.13710265	0
6634	sulfachlorpyridazine	0	0.016130647	0
45115620	VU-0413807-2	0	0.02121299	0
11667893	motesanib	0	0.018032186	0
31553	silibinin	0	0.0035967643	0
4848	pirenzepine	0	0.010708796	0
69216	5-methylhydantoin	0	0.26315507	0
51537051	LDN-57444	0	0.016333507	0
9863367	SB-242235	0	0.010561028	0
